name_id,game_name
1,140
2,1942
3,10000000
4,July
5,- Arcane Raise -
6,?≠Shin Chan Flipa en colores!
7,.hack: Sekai no Mukou ni + Versus
8,.hack//G.U. Last Recode
9,.hack//G.U. Vol.1//Rebirth
10,.hack//G.U. Vol.2//Reminisce
11,.hack//G.U. Vol.2//Reminisce (jp sales)
12,.hack//G.U. Vol.3//Redemption
13,.hack//Infection Part 1
14,.hack//Link
15,.hack//Mutation Part 2
16,.hack//Outbreak Part 3
17,.hack//Quarantine Part 4: The Final Chapter
18,'98 Koshien
19,[Prototype]
20,0-ji no Kane to Cinderella: Halloween Wedding
21,007 Legends
22,007 Racing
23,007: Quantum of Solace
24,007: The World is Not Enough
25,007: Tomorrow Never Dies
26,1 vs. 100
27,1-2-Switch
28,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
29,1/2 Summer +
30,10 Minute Solution
31,100 All-Time Favorites
32,100 Classic Books
33,100 Classic Games
34,100% Pascal Sensei: Kanpeki Paint Bombers
35,1000 Cooking Recipes from ELLE ?ˇ table
36,1001 Touch Games
37,101-in-1 Explosive Megamix
38,101-in-1 Party Megamix Wii
39,101-in-1 Sports Megamix
40,101-in-1 Sports Party Megamix
41,1080?¯: TenEighty Snowboarding
42,11eyes: CrossOver
43,12 Labours of Hercules
44,12 Labours of Hercules III: Girl Power
45,12-Sai. Honto no Kimochi
46,12-Sai. Koisuru Diary
47,12-Sai. Torokeru Puzzle Futari no Harmony
48,12Riven: The Psi-Climinal of Integral
49,13 Sentinels: Aegis Rim
50,15 Days
51,1503 A.D.: The New World
52,1602 A.D.
53,1701 A.D.
54,18 Wheeler: American Pro Trucker
55,18 Wheels of Steel: Extreme Trucker
56,18 Wheels of Steel: Extreme Trucker 2
57,187: Ride or Die
58,2 Games in 1 Double Pack: Finding Nemo / Monsters Inc.
59,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race
60,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures
61,2 Games in 1: Disney Princess & The Lion King
62,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2
63,2 Games in 1: Sonic Advance & ChuChu Rocket!
64,2 Games in 1: Sonic Battle & ChuChu Rocket!
65,2 Games in 1: Sonic Pinball Party & Columns Crown
66,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild
67,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe
68,2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe
69,2-in-1 Game Pack: Spider-Man & Spider-Man 2
70,2002 FIFA World Cup
71,2010 FIFA World Cup South Africa
72,2014 FIFA World Cup Brazil
73,20XX
74,24: The Game
75,25 To Life
76,2nd Super Robot Wars Original Generation
77,2Xtreme
78,"3 in 1: Solitaire, Mahjong & Tangram"
79,300: March to Glory
80,3D Baseball
81,3D Dot Game Heroes
82,3D Lemmings
83,3D Tank Warfare Simulator Panzer Front
84,3rd Super Robot Wars Z Jigoku Hen
85,3rd Super Robot Wars Z: Tengoku-Hen
86,3Xtreme
87,4 Elements
88,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship
89,4 Nin uchi Mahjong
90,4 Play Collection - Dark Mysteries
91,4 Play Collection: Treasure Hunters
92,40 Winks
93,428: Fuusa Sareta Shibuya de
94,428: Shibuya Scramble
95,4X4 EVO 2
96,4x4 Evolution
97,50 Cent: Blood on the Sand
98,50 Cent: Bulletproof
99,50 Classic Games
100,64 de Hakken! Tamagotchi Minna de Tamagotchi World
101,7 Days to Die
