sale_id,game_id,platform,publisher,developer,games_sold,years
1,12992,Wii,Nintendo,Nintendo EAD,82.9,2006
2,11020,NES,Nintendo,Nintendo EAD,40.24,1985
3,1962,PC,Valve,Valve Corporation,40,2012
4,6551,Wii,Nintendo,Nintendo EAD,37.32,2008
5,8635,PC,PUBG Corporation,PUBG Corporation,36.6,2017
6,6970,PC,Mojang,Mojang AB,33.15,2010
7,12994,Wii,Nintendo,Nintendo EAD,33.13,2009
8,8697,GB,Nintendo,Game Freak,31.38,1998
9,7844,DS,Nintendo,Nintendo EAD,30.8,2006
10,7848,Wii,Nintendo,Nintendo EAD,30.3,2009
11,11454,GB,Nintendo,Bullet Proof Software,30.26,1989
12,1476,PS4,Activision,Infinity Ward,30.13,2019
13,3074,NES,Nintendo,Nintendo R&D1,28.31,1985
14,12990,Wii,Nintendo,Nintendo EAD,28.02,2007
15,6549,NS,Nintendo,Nintendo EPD,24.77,2017
16,5827,X360,Microsoft Game Studios,Good Science Studio,24,2010
17,8026,DS,Nintendo,Nintendo EAD,23.96,2005
18,6550,DS,Nintendo,Nintendo EAD,23.6,2005
19,8677,GB,Nintendo,Game Freak,23.1,2000
20,12984,Wii,Nintendo,Nintendo EAD,22.67,2008
21,12985,Wii,Nintendo,Nintendo EAD,21.13,2009
22,11039,SNES,Nintendo,Nintendo EAD,20.61,1991
23,4389,PS3,Rockstar Games,Rockstar North,20.32,2013
24,4389,PS4,Rockstar Games,Rockstar North,19.39,2014
25,1241,DS,Nintendo,Nintendo SDD,19.01,2006
26,11125,NS,Nintendo,Bandai Namco Games,18.84,2018
27,6547,3DS,Nintendo,Nintendo EAD / Retro Studios,18.71,2011
28,11028,GB,Nintendo,Nintendo R&D1,18.14,1989
29,8674,DS,Nintendo,Game Freak,17.67,2007
30,11033,NS,Nintendo,Nintendo EPD,17.41,2017
31,11772,NS,Nintendo,Nintendo EPD,17.41,2017
32,8706,NS,Nintendo,Game Freak,17.37,2019
33,4395,PS2,Rockstar Games,Rockstar North,17.3,2004
34,11023,NES,Nintendo,Nintendo R&D2,17.28,1990
35,4147,PC,Valve,Facepunch Studios,16.9,2006
36,8709,3DS,Nintendo,Game Freak,16.45,2013
37,12603,PS4,Sony Interactive Entertainment,Naughty Dog,16.25,2016
38,8698,GBA,Nintendo,Game Freak,16.22,2003
39,8704,3DS,Nintendo,Game Freak,16.18,2016
